clavy_id,"editorial","fecha de publicación","titulo","lugar de publicación"
59547,"El Cuento Semanal","1908 (15-5-1908)","Rivales","Madrid"
59548,"El Cuento Semanal","1908 (22-5-1908)","Torre de marfil","Madrid"
59549,"El Cuento Semanal","1908 (11-9-1908)","La sombra de la madre","Madrid"
59550,"El Cuento Semanal","1908 (9-10-1908)","Nuevo coloquio de los perros","Madrid"
59551,"El Cuento Semanal","1908 (29-8-1908)","La princesita de pan y miel","Madrid"
59552,"El Cuento Semanal","1908 (4-9-1908)","Noche perdida","Madrid"
59554,"El Cuento Semanal","1908 (14-2-1908)","El solar de la bolera","Madrid"
59555,"El Cuento Semanal","1908","Del camino","Madrid"
59556,"El Cuento Semanal","1908 (31-1-1908)","La senda estéril","Madrid"
59558,"El Cuento Semanal","1908 (24-4-1908)","Viendo la vida","Madrid"
59559,"El Cuento Semanal","1908 (7-3-1908)","Nómada","Madrid"
59560,"El Cuento Semanal","1908 (21-3-1908)","Nobleza obliga","Madrid"
59562,"El Cuento Semanal","1908 (6-11-1908)","El paralítico","Madrid"
59563,"El Cuento Semanal","1908 (16-10-1908)","Por dónde viene la dicha","Madrid"
59565,"El Cuento Semanal","1908 (13-11-1908)","Las posadas del amor","Madrid"
59622,"Tip. de la Casa Ed. Maucci","[1910?]","México y sus gobernantes de 1519 a 1910. Biografías, retratos y autógrafos (iconografía completa), con una reseña histórica anterior al descubrimiento y conquista","Barcelona"
59623,"(Imp. de Bernabé Fernández)","1860","La pastora del Guadiela. Novela original","Madrid"
59624,"Maucci","[1907?]","La senda del Calvario. Nueva y completa Semana Santa en prosa y verso: las siete palabras: oraciones para la Santa Misa, en prosa, oraciones para la mañana y la noche ...","Barcelona"
59625,"Fidel Giró","1890","América y sus mujeres. Estudios hechos sobre el terreno","Barcelona"
59626,"(Imp. de Henrich y Cía.)","1897","América en fin de siglo. Actualidades, sucesos, apreciaciones, semblanzas, datos históricos","Barcelona"
59627,"(Imp. ""Las Noticias"")","1878","El camino de la cruz. Poema religioso. Las siete palabras","Lima"
59628,"[s.n.]","1888","Americanos célebres. Glorias del Nuevo Mundo","[s.l.]"
59629,"(Tip. de Walder)","1860","Alfonso el Grande. Poema histórico dedicado a S.M. la Reina Dª Isabel Segunda","París"
59630,"Libr. de A. Bouret e Hijo","1874","Almacén de las señoritas","Paris"
59632,"Imp. y Libr. de Abundio Z. Menéndez","1892","Colón. Poema","Palencia"
59634,"(Imp. y Fundición de M. Tello)","1891","A San Juan de la Cruz. Poesía de doña Carolina Valencia, premiada en público certamen por la Real Academia Española y publicada a sus expensas","Madrid"
59637,"Libr. de Fernando Fe","1911","Mis cantares","Madrid"
59638,"(R. Velasco, Imp.)","[1909]","¡¡La estocá de la tarde!!  Zarzuela en un acto, dividido en cinco cuadros, en prosa","Madrid"
59641,"Ed. Libertad","[1932]","¿Quo vadis, burguesía?","Madrid"
59644,"(Imp. de Salvador Manero)","[1881]","Aurora y Felicidad. Novela de costumbres","Barcelona"
59646,"(Imp. de Pedro Núñez)","1879","El deber cumplido. Novela original","Madrid"
59647,"(Imp. de Francisco Macías)","1879","La cadena rota. Drama en tres actos y en verso","Madrid"
59648,,,"Contra indiferencia, celos. Juguete cómico en un acto y en prosa. Emp.: ¡Se va!... ¡Oh! ¡Qué martirio!... (h. 4)... Fin.: es el remedio mejor (h. 46)","[ca. 1875]"
59649,"(Estab. Tip. de R. Vicente)","1865-1866","Ángela o El ramillete de jazmines. Novela original","Madrid"
59650,"[La Violeta]","1862-1866","La Violeta. Revista hispano-americana. Literatura, ciencias, teatros y modas","Madrid"
59651,"Libr. de Miguel Guijarro","1862-1863","Los miserables de España o Secretos de la Corte. Novela de costumbres","Madrid"
59652,"(Imp. de Bernabé Fernández Barco)","1861","La marquesa de Pinares (segunda parte de La pastora del Guadiela)",
59685,"La Novela Roja","1923","En la roca de La Mola. (Memorándum de un confinado)","Madrid"
59687,"La Novela Roja","1923","Papa y papá","Madrid"
59688,"La Novela Roja","1923","La máquina infernal","Madrid"
59691,"La Novela Roja","1923","Los proscritos. (De unos años de dolor y de terror)","Madrid"
59692,"La Novela Roja","1923","La roja","Madrid"
59693,"La Novela Roja","1923","Los mártires del sindicalismo","Madrid"
59694,"La Novela Roja","1923","El dolor errante","Madrid"
59699,"La Novela Roja","1923","El traidor y la recompensa","Madrid"
59704,"La Novela Roja","1922","Episodios de la lucha","Madrid"
59708,"La Novela Roja","1922","La cena de los cardenales","Madrid"
59709,"La Novela Roja","1922","Apariencias","Madrid"
59710,"La Novela Roja","1922","Diálogos cortos","Madrid"
59712,"La Novela Roja","1922","La gloria militar","Madrid"
59715,"La Novela Roja","1922","Delatores","Madrid"
59717,"La Novela Roja","1923","Diálogos dramáticos","Madrid"
59718,"Ediciones Libertad","1932","Una pedrada a la virgen","Madrid"
59719,"La Novela Roja","1923","La canción del réprobo","Madrid"
59721,"La Novela Roja","1929","Los ídolos caídos","Madrid"
59722,"La Novela Roja","1923","Los victimarios","Madrid"
59723,"La Novela Roja","1923","La voz de la sangre","Madrid"
59725,"Ediciones Libertad","1932","Sindicalista en acción","Madrid"
59727,"La Novela Roja","1923","El terrorista blanco","Madrid"
59728,"La Novela Roja","1923","¡Catedrales, viejas catedrales!","Madrid"
59729,"La Novela Roja","1923","Odio y violencia","Madrid"
59730,"La Novela Roja","1923","Amor y púrpura. (Monólogo dramático)","Madrid"
59731,"La Novela Roja","1923","Perfiles revolucionarios","Madrid"
59734,"La Novela Roja","1923","Redención imposible","Madrid"
59735,"La Novela Roja","1923","La muerte del genio","Madrid"
59737,"La Novela Roja","1923","Reyes, favoritos y validos. Reyes traidores a la patria","Madrid"
59738,"La Novela Roja","1923","Entre el hampa","Madrid"
59740,"La Novela Roja","1923","Elisabet","Madrid"
59743,"La Novela Roja","1923","El día de trabajo","Madrid"
59744,"La Novela Roja","1923","Lucerna y El cadáver viviente","Madrid"
59745,"La Novela Roja","1923","El prisionero","Madrid"
59750,"La Novela Roja","1922","Un sujeto peligroso","Madrid"
59751,"La Novela Roja","1922","Rojo y verde","Madrid"
59753,"La Novela Roja","1922","La maestra","Madrid"
59755,"Pegaso","1922","El aprendiz (aguafuerte)","Barcelona"
59768,"La Novela Roja","1922","La Inquisición de Sevilla","Madrid"
59778,"La Novela Roja","1922","Páginas de sangre","Madrid"
59781,"La Novela Roja","1922","El presidiario. (Escenas de presidio)","Madrid"
59782,"La Novela Roja","1922","Otro mártir. (Episodio de la represión en Barcelona)","Madrid"
59784,"La Novela Roja","1922","Germinal","Madrid"
59785,"La Novela Roja","1922","El 606","Madrid"
59786,"La Novela Roja","1922","Pedro el panadero y Un sueño","Madrid"
59788,"La Novela Roja","1922","¡Sin trabajo!","Madrid"
59790,"La Novela Roja","1922","Sin trabajo","Madrid"
59791,"La Novela Roja","1922","Memorias de un pícaro","Madrid"
59792,"La Novela Roja","1922","Navidad de los pobres","Madrid"
59795,"La Novela Roja","1922","El terror. (Brochazos de la represión en Barcelona)","Madrid"
59796,"La Novela Roja","1922","El último atentado","Madrid"
59799,"La Novela Roja","1922","Un asesino","Madrid"
59801,"La Novela Roja","1922","Días trágicos","Madrid"
59802,"La Novela Roja","1922","Horas trágicas","Madrid"
59803,"La Novela Roja","1922","Recuerdos del zarismo","Madrid"
59806,"La Novela Roja","1922","Camino del destierro. (Boceto de comedia popular en un acto)","Madrid"
59808,"La Novela Roja","1922","La compañera","Madrid"
59809,"La Novela Roja","1922","La historia de Gorrita. (Páginas del destierro)","Madrid"
59810,"Juan Pueyo","1917","Cancionero de mi tierra","Madrid"
59812,"(Estab. Tip. de Calatrava)","1922","Ababol. Novela sobre costumbres de la huerta de Murcia","Salamanca"
59977,"V.H. Sanz Calleja","[1921]","El alma del niño. Ensayos de Psicología infantil","Madrid"
59978,"V.H. Sanz Calleja","[1923]","El alma del niño. Ensayos de Psicología infantil","V.H. Sanz Calleja"
59979,"Federación Ibérica de Sociedades Protectoras de Animales y Plantas, Sección de Madrid","1931","La fiesta taurina y su urgente e inexcusable dulcificación","Madrid"
59983,"Cervantes","1927","Embrujamiento","Madrid"
59986,"Atenas A.G.","1933","Paisajes y meditaciones","Barcelona"
59987,"Cervantes","[1929]","Sinfonía en rojo","Barcelona"
59988,"Cervantes","1931","La hora emocionada","Barcelona"
59990,"Cervantes","[1928]","La canción cristalina","Barcelona"
59991,"Plon","[1923]","Rose des bois","París"
59992,"Daniel Cortezo","1887","El anacronópete","Barcelona"
59993,"eLITE-CM/UCM","2017","Veraneo estropeado","[Madrid]"
59997,"eLITE-CM/BNE","2017","Plaga de dragones","[Madrid]"
59998,"Libr. Paul Ollendorff","[1900?]","Imágenes. (Versiones poéticas). Rosas del tiempo antiguo. Mies de hogaño","París"
59999,"Páez","1930","De la condición del escritor. Algunos ejemplos","Madrid"
60000,"[Espasa-Calpe]","1927","Instantes. Literatura, política","[Madrid]"
60001,"Publicaciones de la Residencia de Estudiantes","1915","Aprendizaje y heroísmo. Lectura dada en la Residencia de estudiantes la noche del 20 de enero de 1915","Madrid"
60002,"Lib. de la Viuda de Pueyo","1917","Las mujeres de la literatura","Madrid"
60004,"Espasa-Calpe","[1930]","El cortejo de Minerva","[Madrid]"
60005,"Biblioteca Nueva","1919","Historia del periodismo desde sus comienzos hasta nuestra época","Madrid"
60010,"Wilhelm Gronau","1932","Marcelino Menéndez y Pelayo y la cultura alemana (9-XI-1932)","Jena/Leipzig"
60011,"Mundo Latino","[1918]","La leona de Castilla. Drama en tres actos, en verso","Madrid"
60013,"Librería de Fernando Fé","1910","Los hijos de Madrid","Madrid"
60015,"[Imp. Casa Miquel-Rius]","1932","Curial e Güelfa. Text del XVen segle","Barcelona"
60016,"Imp. ""Aurora""","[1911]","La bailarina. (Pantomima en un acto y dos cuadros)","[Madrid]"
60017,"R. Velasco, Imp.","1912","Juan José. Drama en tres actos y en prosa","Madrid"
60018,"Frederick A. Stokes","[1918]","The Spanish fairy book. (Cuentos de hadas)","New York"
60019,"Lib. Española","[1921]","Elevación y caída de Porfirio Díaz","México"
60020,"Gustavo Gili","1917","La afirmacion española. Estudios sobre el pesimismo español y los nuevos tiempos","Barcelona"
60022,"Sociedad General Española de Librería","1915","Ojo por ojo... (Cartas de José Cacumendi a Manuel Briz)","Madrid"
60023,"(Imp. de Caro Raggio)","1924","Colección. Poesías","Madrid"
60025,"García Monge y Cía.","[1920]","Florilegio","San José de Costa Rica"
60026,"[Imp. de Galo Sáez]","1933","Un cementerio en las Antillas","Madrid"
60027,"Biblioteca Nueva","[19--]","La decandecia de la risa","Madrid"
60029,"Garnier Hnos.","[193-?]","Memorias póstumas de Blas Cubas","París"
60030,"Imp. Artística Saez Hnos.","1928","La posada y el camino. Versos","Madrid"
60031,"[s.n.]","1931","Gabriel Miró (el escritor y el hombre)","Valencia"
60033,"Doubleday","1921","A son of the hidalgos","Garden City, N.Y."
60035,"Rafael Caro Raggio","[1921]","Patrañas. Cuentos","Madrid"
60036,"Imp. Sur","1929","Jacinta la pelirroja. Poema en poemas y dibujos","Málaga"
60037,"Calleja","1918","Evoluciones. Cuentos, caprichos, bestiario, epitafios y obras paralelas","Madrid"
60038,"Renacimiento","1916","El luchador. Novela","Madrid"
60039,"The Century co.","1925","Lucha extraña","New York & London"
60042,"Biblioteca Nueva","[1917]","Hombres, hombrecillos y animales","Madrid"
60043,"Pueyo","1920","Cómo se conquista la notoriedad. Los favoritos de la multitud","Madrid"
60044,"Lib. de los Sucesores de Hernando","1912","Marcelino Menéndez Pelayo (su vida y su obra)","Madrid"
60045,"(Tip. de la ""Revista de Archivos"")","1905","Flor pagana","Madrid"
60046,"Pueyo","1934","Las llamas de ""El Fénix"". Breviario íntimo de Fray Lope Félix de Vega Carpio","Madrid"
60047,"Sempere","1925","El molino de viento","Valencia"
60048,"Mundo Latino","[1918]","El rey Galaor. Tragedia en tres actos y en verso inspirado en un poema de Eugenio de Castro. El triunfo del amor. Leyenda en dos actos de Giuseppe Giacosa","Madrid"
60049,"Juventud","[1935]","Vida azarosa de Lope de Vega","Barcelona"
60050,"Mejías y Susillo, Imp.","[1926]","Andalucía la Baja (poemas en verso)","Sevilla,"
60051,"V. H. de Sanz Calleja","[1917]","La Maja de Goya. Drama en tres actos","Madrid"
60052,"Renacimiento","1913","Judith. Tragedia bíblica en tres actos y en verso","Madrid"
60053,"Maucci","[192-]","Bolívar, poema romántico original y en verso, en un prólogo y tres actos","Barcelona"
60054,"La Novela Corta","[1916]","Trata de blancas (Mavi). Comedia original e inédita","[Madrid]"
60055,"La Novela Corta","[1916]","El moralista. Novela inédita","[Madrid]"
60057,"Renacimiento","[1931]","Por el mundo de la farsa (palabras de un farsante)","Madrid"
60058,"Calpe","[1921]","Oceanografía del tedio. Historias de las esparragueras","[Madrid]"
60059,"V.H. de Sanz Calleja","[1915]","Dramas y comedias. El intérprete de Hamlet. El último de la clase","[Madrid]"
60060,"Sempere","1926","Guillermo Tell. Tragedia política en tres jornadas","Valencia"
60061,"V. Suárez","1905","La muerte de Isidro Nonell, seguida de otras arbitrariedades y de la oración a Madona Blanca Maria","Madrid"
60062,"Mundo Latino","[1925]","El juez que perdió la conciencia. Novela","Madrid"
60063,"London S. French","[ca. 1923]","The romantic young lady (Sueño de una noche de agosto). Comedy in three acts","New York, S. French"
60064,"Compañía Iberoamericana de Publicaciones (CIAP)","[1930]","La hora española. Ensayos","Madrid [etc.]"
60065,"Gustavo Gili","1926","Los paladines iluminados","Barcelona"
60066,"Renacimiento","1924","Hermann, encadenado","Madrid"
60067,"Sociedad de Ed. Literarias y Artísticas","1908","Muecas. Crítica y sátira","París"
60068,"M. Pérez Villavicencio","1907","Del cercado ajeno. Versiones poéticas","Madrid"
60069,"Garnier Hnos.","[1910]","La sombra del ensueño","París"
60070,"Páez","[1925?]","Obras completas de Rosalía de Castro","Madrid"
60072,"""La Lectura""","1921","Poesías","Madrid"
60074,"Macmillan","1933","Tiger Juan","New York"
60075,"Pueyo","1919","Un viaje de novios","Madrid"
60076,"Ediciones del Árbol","1936-","Disparadero español","Madrid"
60077,"Jonathan Cape","[1933]","Tiger Juan","London"
60078,"Editorial Atlántida,","1922.","Cuentos de la tierra (obra póstuma)","Madrid,"
60080,"La España Moderna","[1893]","Obras completas de Augusto Ferràn","Madrid"
60081,"La Novela Mundial","1928","Blanco Ibañez, Vicente","Madrid"
60082,"F. Fé","[1907]","Tinieblas en las cumbres (historias de libertinaje)","Madrid"
60084,"Tip. de Francisco de P. Díaz","1894","La declamación española","Sevilla"
60085,"Imp. Helénica","1913","La corte de Tetuán","Madrid"
60087,"Imp. Helénica","1912","La agonía del Mogreb","Madrid"
60088,"Reus","[1931?]","Gente, gentecilla y gentuza. Críticas y sátiras","Madrid"
60089,"[Gráfica Universal]","1935","Arte y Estado","Madrid"
60090,"Calleja","1918","El poema de la pampa, ""Martín Fierro"" y el criollismo español","Madrid"
60091,"Saturnino Calleja","1919","La intimidad literaria","Madrid"
60092,"Rafael Caro Raggio","[1924]","En la vida del Señor Alegre. Novela","Madrid"
60094,"Ambrosio Pérez y Cía.","1905","Discursos leídos ante la Real Academia Española en la recepción pública de D. Emilio Ferrari el dia 30 de abril de 1905","Madrid"
60096,"[Compañía Ibero-americana de Publicaciones (CIAP)]","1929","Libro de guisados","Madrid"
60098,"Ramón Sopena","[1900]","Incesto. Novela original","Barcelona"
60099,,"[1917]","La eterna víctima. Comedia en tres actos, última obra inédita","[Madrid]"
60100,"Renacimiento","[1931]","El semental (archiaristocráticas conquistas españolas del bello gran duque vienés Gastón de Beaurepaire). Novela","Madrid"
60101,"Mundo Latino","[ca. 1921]","El movimiento V. P. (Novela)","Madrid,"
60102,"Saturnino Calleja","1920","Glosas. Páginas del Glosari de Xenius (1906-1917)","Madrid"
60104,"Tip. de Poch y Creixell","1888","Galeria literaria malagueña. Apuntes para un indice biográfico bibliográfico relativos a escritores hijos de esta provincia, residentes en ella o que han escrito respecto a la misma","Málaga"
60105,"Pueyo","[ca. 1928]","Tigre Juan. Novela","Madrid"
60106,"Justicia","[1929]","El crimen de la Gran Vía. Un proceso apasionante sujeto a comentarios y revisión crítica, el caso y su proyección social","Madrid"
60109,"Renacimiento","1912","El indiano. Comedia en tres actos","Madrid"
60110,"H. Holt and Co.","1930","Sueño de una noche de agosto","New York"
60111,"Pueyo","[ca. 1930]","El curandero de su honra. (Segunda parte de Tigre Juan). Novela","Madrid"
60114,"Calleja","1917","Obras poéticas","Madrid"
60118,"R. G. Badger","[c. 1919]","Contemporary Spanish dramatists","Boston"
60119,"Espasa-Calpe","1935","Romea, o el comediante","Madrid"
60122,"Imp. de Juan Pueyo","1918","Cajal. Hstoria íntima y resumen cientiífco del español más ilustre de su época","Madrid"
60123,"Sucesores de Hernando,","1911.","Elogio de la crítica (ensayos diversos)","Madrid,"
60124,"Renacimiento","1912","Socialismo individualista. (Índice para su estudio antropológico)","Madrid"
60126,"(Imp. de Caro Raggio)","1927","Por la América desconocida","Madrid"
60127,"Rafael Caro Raggio","[1929]","Bolívar y sus tenientes. San Martín y sus aliados","Madrid"
60128,"Imprenta helénica,","1916.","Un déspota y un libertador. El problema de México","Madrid,"
60129,"Imp. Helénica","1916","Carranza y la revolución de México","Madrid"
60130,"Imp. Cooperativa","1897","Tierra adentro. Sierras de Córdoba; excursiones por los departamentos Anejos Norte, Punilla, Cruz del Eje y Minas","Buenos Aires"
60131,"Compañía Ibero-Americana de Publicaciones (CIAP)","[1929]","La virgen prudente. 1ª ed.","Madrid"
60132,"V. Suárez","1912","Chuquisaca, o La Plata perulera. Cuadros históricos, tipos y costumbres del Alto Perú (Bolivia)","Madrid"
60133,"R. Caro Raggio","[1930]","Historia moderna de la América española (desde la Independencia hasta nuestros días)","Madrid"
60134,"Imp. Sopena","[1914?]","Loca de amor. Novela original","Barcelona"
60135,"Ramon Sopena","[19--?].","Noche de bodas. Semana de amor","Barcelona"
60136,"Espasa-Calpe","1932","Iparraguirre, el último bardo","Madrid [etc.]"
60138,"Atenea","[1919]","Los frutos ácidos. Novelas","Madrid"
60139,"Biblioteca Nueva","[1918]","El Divino fracaso","Madrid"
60141,"Delagrave","1928","Trois heures au Musée du Prado. Itinéraire esthétique orné de 48 reproductions","París"
60142,"Espasa-Calpe","1931","Zumalacárregui. El caudillo romántico","Madrid [etc.]"
60143,"Ediciones Caballero Audaz","1933","Secretos y misterios del terrorismo en España (opiniones de un hombre de la calle)","Madrid"
60145,"Ediciones Caballero Audaz","1935","Una española se casa en Roma (diario de un hombre de la calle)","Madrid"
60146,"Ediciones: Caballero Audaz","[1932]","España se defiende (opiniones de un hombre de calle)","Madrid,"
60147,"Caballero Audaz","[1932]","Entre la dictadura y la anarquía (opiniones de un hombre de la calle)","Madrid, Ediciones:"
60148,"Ediciones Caballero Audaz","[1932]","Lo que no quiere España (opiniones de un hombre de la calle)","[Madrid]"
60149,"Ediciones Caballero Audaz","[1932]","Nos llevan hacia el abismo (opiniones de un hombre de la calle)","Madrid,"
60150,"Victoriano  Suárez","1905","Granada la bella","Madrid"
60151,"Renacimiento","1910","Cómo cae un trono. (La revolución en Portugal)","Madrid"
60152,"Ediciones Caballero Audaz","[1932]","Las responsabilidades de Lerroux (opiniones de un hombre de la calle)","Madrid"
60153,"Ediciones Caballero Audaz","[1932]","Sanjurjo, caudillo y víctima (vida heroica de un gran soldado de España). (Opiniones de un hombre de la calle)","Madrid"
60154,"Compañía Ibero-Americana de Publicaciones (CIAP)","[1929]","La revolución mejicana. Sus orígenes, sus hombres, su obra","[Madrid]"
60155,"Imp. Helénica","1916","De Porfirio Díaz a Carranza. Conferencias dadas en el Ateneo de Madrid en los meses de marzo y abril de 1916","Madrid"
60158,"Renacimiento","1920","La alegria de andar. Croquis de un viaje por tierras de Puerto Rico y Cuba, Estados Unidos, Centro-América y América del Sur (1916-1920)","Madrid"
60159,"Ediciones La Nave","[1928]","Hércules jugando a los dados","Madrid"
60161,"Jiménez Fraud","[1922-1923]","Cosas de España (el país de lo imprevisto)","Madrid"
60163,"Cervantes","[1921]","La inevitable guerra entre el Japón y América del Norte (estudio político)","Barcelona"
